"TOA5","4954","CR300","4954","CR310-CELL200.Std.10.07","CPU:OULAD_AYAD_MTO.CR300","61340","DATA_1j"
"TIMESTAMP","RECORD","Batterie","Temperature","Temperature_Min","Temperature_Max","Humidite","Humidite_Min","Humidite_Max","Temp_rosee","Temp_rosee_Min","Temp_rosee_Max","Vitesse","Direction","Dir_Ecart_type","Rafale","Temps_Rafale","Dir_Rafale","Rayonnement","Durree_Insolation","Pluie","ET0"
"TS","RN","Volts","Deg C","Deg C","Deg C","%","%","%","Deg C","Deg C","Deg C","m/s","Deg","Deg","m/s","m/s","degrees","kJ/m^2","hr","mm","mm"
"","","Min","Avg","Min","Max","Avg","Min","Max","Avg","Min","Max","WVc","WVc","WVc","Max","TMx","Smp","Smp","Smp","Tot","Smp"
"2023-03-30 23:59:00",99,12.66,24.34,12.65,35.02,25.66,9.72,48.92,2.142,-1.93,7.219,1.072,76.22,96.2,6.12,"2023-03-30 13:21:00",123,24166.41,10.67,0,5.302
"2023-03-31 23:59:00",100,12.59,23.28,11.52,33.86,29.1,9.35,55.91,2.496,-4.326,7.008,0.897,54.27,82.4,3.44,"2023-03-31 15:31:00",323,24999.62,10.87,0,5.185
"2023-04-01 23:59:00",101,12.57,21.67,12.26,32.71,38.39,10.65,66.62,4.903,-2.597,9.12,1.123,275.4,86.5,4.98,"2023-04-01 18:36:00",341,25298.54,10.92,0,5.36
"2023-04-02 23:59:00",102,12.54,20.84,11.6,31.38,43.37,12.92,70.22,6.045,-0.776,10.12,1.154,310.7,94.2,4.09,"2023-04-02 15:33:00",157,25395.36,10.98,0,5.188
"2023-04-03 23:59:00",103,12.58,20.01,11.5,29.95,52.24,11.63,87.4,7.876,-3.438,12.37,1.61,246.1,44.97,7.83,"2023-04-03 17:32:00",270,25120.74,10.88,0,5.296
"2023-04-04 23:59:00",104,12.74,16.03,9.34,23.77,53.31,24.32,73.27,5.931,0.333,9.87,1.968,276.3,38.5,6.28,"2023-04-04 14:06:00",316,22208.64,9.1,0,4.353
"2023-04-05 23:59:00",105,12.77,16.23,11.74,21.82,65.4,43.44,89.3,9.31,7.848,10.92,2.722,239.4,32.64,9.94,"2023-04-05 15:42:00",256,21507.59,10.17,0,4.07
"2023-04-06 23:59:00",106,12.78,19.66,11.18,27.44,52.3,26.87,83.3,8.64,6.094,10.72,1.316,250.7,89.7,5.37,"2023-04-06 20:01:00",270,21705.55,10.48,0,4.497
